member_id,boat_length_ft,boat_length_in,boat_width_ft,boat_width_in,current_slip,is_permanent
1212,46,11,13,10,A-00,1
2036,46,0,13,0,A-01,0
1840,32,0,11,0,A-02,1
2037,37,6,12,10,A-03,0
1784,44,10,14,0,A-04,1
1114,32,6,11,4,A-05,1
1998,38,8,12,3,A-06,1
1750,34,0,11,8,A-07,1
1818,35,0,11,10,A-08,1
1824,38,6,12,4,A-09,1
1708,40,0,10,8,A-10,1
930,40,0,12,10,A-11,1
266,36,0,11,7,A-12,1
1758,42,0,13,10,A-13,1
1946,36,10,12,0,A-14,1
1041,37,8,13,0,A-15,1
1579,39,9,12,10,A-16,1
1685,42,0,13,0,A-17,1
1741,35,3,11,6,A-18,1
2034,36,0,12,6,A-19,1
1978,38,0,12,3,A-20,1
1081,37,0,10,2,A-21,1
2015,34,2,11,2,A-23,1
1491,17,3,5,9,A-24,1
1760,28,2,9,10,A-25,1
2059,30,0,10,10,A-26,1
1632,30,0,9,10,A-27,1
2033,32,10,9,2,A-28,1
1994,26,0,8,6,A-29,1
1255,28,0,9,3,A-30,1
1612,29,11,10,0,A-31,1
1293,24,0,8,6,A-32,1
1494,33,0,9,3,A-33,1
1867,27,10,9,3,A-34,1
1458,30,0,10,0,A-35,0
1870,33,7,10,9,A-36,1
2007,30,4,9,0,D-08,0
2069,27,0,8,0,A-38,0
1984,30,1,9,6,A-40,1
1845,23,0,8,0,A-41,0
1789,34,6,10,6,A-42,1
1965,33,0,11,4,B-00,0
1634,42,0,11,6,B-01,1
1401,36,0,12,6,B-02,1
1301,36,4,11,11,B-03,1
1431,34,0,10,8,B-04,1
594,43,0,12,0,B-05,1
1958,36,0,13,0,B-06,1
1769,38,0,12,5,B-07,1
1202,40,0,12,6,B-08,1
1362,37,10,12,10,B-09,1
1915,40,3,12,9,B-10,1
1587,44,0,14,0,B-11,1
2020,22,6,10,0,C-01,1
1964,26,10,8,10,C-02,1
1847,30,0,10,0,C-03,1
1877,25,0,8,0,C-04,1
1844,33,0,9,2,C-05,1
1909,32,5,10,10,C-06,1
1777,32,10,10,8,C-07,1
1434,36,0,11,3,C-08,1
1735,33,0,9,2,C-09,1
1507,28,3,10,8,C-10,1
1425,33,8,10,11,C-11,1
1767,33,0,8,0,C-12,1
1027,33,7,9,0,C-13,1
1287,34,3,10,9,C-14,1
1096,33,0,0,0,C-15,1
1947,35,0,11,6,C-16,1
309,24,0,8,0,C-17,1
556,35,6,10,4,C-18,1
1805,32,10,10,6,C-19,1
1447,33,0,11,0,C-20,1
1414,31,4,10,3,C-21,1
1948,34,6,11,0,C-22,1
2032,29,8,11,0,C-23,1
1160,31,11,10,0,C-24,1
2012,30,0,10,6,C-25,1
1527,33,0,11,6,C-26,1
961,36,0,11,6,C-27,1
1966,32,0,10,4,C-28,1
1028,35,0,11,4,C-29,1
1467,26,10,8,10,C-30,1
1399,31,0,11,0,C-31,1
1402,32,3,10,3,C-32,1
1325,30,0,10,10,C-33,1
1979,34,6,11,9,C-34,1
1991,33,11,11,3,C-35,1
1943,31,0,10,7,C-36,1
1479,35,6,10,4,C-37,1
1815,31,1,10,6,C-38,1
1961,34,6,11,9,C-39,1
2000,35,0,11,4,C-40,1
1307,32,0,9,10,C-41,1
1050,36,0,12,0,C-42,1
2049,30,0,9,0,C-43,1
1348,20,0,8,0,D-01,1
2051,26,3,9,5,D-02,0
1711,33,0,9,9,D-03,1
2029,29,11,10,10,D-04,1
1826,29,10,11,5,D-05,1
1887,30,0,11,0,D-06,1
1856,27,0,9,0,D-07,1
1533,27,6,9,3,D-09,1
2042,25,11,9,0,D-10,1
913,28,6,10,0,D-11,1
2039,32,0,9,3,D-12,1
1814,34,0,11,6,D-13,1
740,24,0,9,0,D-14,1
1361,33,0,11,3,D-15,1
1633,25,0,8,0,D-16,1
1878,29,11,11,6,D-17,1
1863,30,2,10,6,D-18,1
2064,30,2,9,0,D-19,1
1553,33,0,10,11,D-20,1
1864,36,0,11,4,D-21,1
1906,34,0,11,3,D-22,1
1910,33,0,11,6,D-24,1
1568,30,0,10,10,D-25,1
1514,33,0,11,0,D-26,1
1687,34,3,11,3,D-27,1
1788,34,6,11,0,D-28,1
1773,33,0,10,7,D-30,1
1825,34,11,10,11,D-31,1
1709,36,0,11,11,D-32,1
1839,36,0,12,0,D-33,1
1599,31,0,12,0,D-34,1
1032,34,6,11,9,D-35,1
1834,36,0,11,9,D-36,1
1526,32,7,11,0,D-37,1
1810,32,6,11,9,D-38,1
1468,33,0,11,0,D-39,1
1953,36,0,12,0,D-40,1
1576,35,0,11,3,D-41,1
1846,37,5,12,10,D-42,1
1675,37,0,12,9,D-43,1
1974,33,11,11,4,D-44,1
2040,38,8,11,11,D-45,1
1215,30,0,11,6,D-46,1
1945,34,0,11,3,D-47,1
1181,33,6,11,8,D-48,1
1975,28,4,10,0,D-49,1
