slip_id,max_length_ft,max_length_in,max_width_ft,max_width_in
A-00,38,5,15,10
A-01,37,6,15,8
A-02,37,6,14,9
A-03,37,6,14,8
A-04,37,6,14,7
A-05,37,6,14,9
A-06,37,6,14,8
A-07,37,6,14,8
A-08,37,6,14,8
A-09,37,6,14,9
A-10,38,0,14,11
A-11,38,0,14,4
A-12,38,0,14,7
A-13,38,0,15,0
A-14,38,0,14,11
A-15,38,0,14,7
A-16,38,0,14,7
A-17,38,0,15,0
A-18,38,0,14,6
A-19,38,0,14,11
A-20,37,6,14,6
A-21,27,3,14,6
A-22,27,3,11,9
A-23,27,3,11,10
A-24,26,7,10,10
A-25,26,1,10,10
A-26,26,4,11,2
A-27,27,6,11,2
A-28,27,7,11,8
A-29,27,9,10,8
A-30,28,8,11,5
A-31,27,10,11,7
A-32,27,10,10,6
A-33,29,0,10,11
A-34,28,9,10,9
A-35,28,6,10,8
A-36,28,9,12,2
A-37,28,6,9,10
A-38,28,9,11,1
A-39,30,3,10,6
A-40,29,1,11,7
A-41,29,10,11,10
A-42,29,10,12,0
B-00,35,0,12,10
B-01,35,0,13,5
B-02,35,0,13,7
B-03,35,0,13,10
B-04,35,0,15,0
B-05,35,0,15,0
B-06,35,0,15,1
B-07,35,0,15,2
B-08,35,0,14,8
B-09,35,0,15,7
B-10,35,0,15,9
B-11,35,7,16,5
B-12,31,9,10,11
B-13,30,1,10,11
B-14,30,1,13,6
C-01,28,5,13,3
C-02,28,5,12,1
C-03,28,5,12,7
C-04,28,5,11,5
C-05,28,3,12,6
C-06,28,3,11,11
C-07,28,2,12,2
C-08,27,9,12,2
C-09,28,0,12,6
C-10,28,1,12,1
C-11,28,4,13,3
C-12,28,4,12,7
C-13,28,10,12,2
C-14,28,5,12,3
C-15,29,0,12,3
C-16,29,0,12,0
C-17,28,9,12,4
C-18,28,9,12,1
C-19,28,7,12,6
C-20,28,7,12,7
C-21,28,9,12,2
C-22,28,9,11,9
C-23,29,0,11,9
C-24,29,0,12,7
C-25,29,4,12,1
C-26,29,4,12,4
C-27,29,7,12,3
C-28,29,7,12,0
C-29,29,4,12,8
C-30,29,4,11,11
C-31,28,8,12,5
C-32,28,3,12,0
C-33,29,2,11,11
C-34,29,9,12,10
C-35,29,9,12,7
C-36,29,9,11,11
C-37,29,9,12,5
C-38,29,3,12,11
C-39,29,9,12,0
C-40,29,9,12,3
C-41,29,9,11,8
C-42,30,0,14,5
C-43,26,0,15,0
D-01,13,5,11,10
D-02,22,5,13,8
D-03,28,2,12,2
D-04,30,1,12,2
D-05,30,1,12,6
D-06,30,0,12,2
D-07,30,0,12,5
D-08,30,0,12,4
D-09,30,0,11,11
D-10,30,0,12,1
D-11,30,0,12,5
D-12,30,0,11,9
D-13,30,0,12,7
D-14,30,0,11,9
D-15,30,0,12,3
D-16,30,0,11,9
D-17,30,0,12,2
D-18,30,0,12,0
D-19,30,0,12,2
D-20,30,0,11,11
D-21,30,0,12,2
D-22,30,0,12,0
D-23,30,0,12,2
D-24,30,0,12,6
D-25,30,0,11,9
D-26,30,0,14,0
D-27,30,0,13,3
D-28,30,0,12,2
D-29,30,0,12,3
D-30,30,0,15,8
D-31,30,0,15,10
D-32,30,0,14,1
D-33,30,0,14,9
D-34,30,0,14,0
D-35,30,0,15,4
D-36,30,0,14,0
D-37,30,0,14,10
D-38,30,0,15,3
D-39,30,0,15,8
D-40,30,0,15,7
D-41,30,0,14,3
D-42,30,0,14,10
D-43,30,0,15,1
D-44,30,0,15,3
D-45,30,0,15,2
D-46,30,0,14,4
D-47,30,0,14,2
D-48,30,0,12,7
D-49,30,0,13,2
